radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,605,1,10011,955,0,10.12,36.761,1000,1,1,,,0
UMTS,605,2,1020,855762,0,10.12,36.761,1000,1,1,,,0
GSM,605,1,10011,952,0,10.12,36.764,1000,1,1,,,0
GSM,605,1,10011,2191,0,10.12,36.764,1000,1,1,,,0
UMTS,605,2,1020,314003,0,10.12,36.764,1000,1,1,,,0
GSM,605,1,10001,793,0,10.12,36.764,1000,1,1,,,0
UMTS,605,1,10019,7289458,0,10.125,36.764,1000,1,1,,,0
GSM,605,2,418,53305,0,10.12,36.765,1000,1,1,,,0
UMTS,605,2,1020,905735,0,10.12,36.765,1000,1,1,,,0
UMTS,605,2,1020,905276,0,10.12,36.766,1000,1,1,,,0
UMTS,605,3,2154,163025,0,10.13,36.768,5128,1,1,,,0
GSM,605,1,10017,6964,0,10.12,36.768,1000,1,1,,,0
UMTS,605,3,2156,235400,0,10.12,36.768,1000,1,1,,,0
UMTS,605,2,1020,905275,0,10.12,36.768,1000,1,1,,,0
UMTS,605,1,10011,7276695,0,10.12,36.768,1000,1,1,,,0
GSM,605,3,1119,15793,0,10.132,36.769,2957,1,1,,,0
UMTS,605,1,10011,7287409,0,10.122,36.769,1000,1,1,,,0
GSM,605,1,10011,951,0,10.12,36.771,1000,1,1,,,0
GSM,605,3,1156,18568,0,10.12,36.771,1000,1,1,,,0
GSM,605,3,1154,12981,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,163028,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,163184,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,133189,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,163030,0,10.12,36.771,1000,1,1,,,0
GSM,605,3,1154,12713,0,10.12,36.771,1000,1,1,,,0
UMTS,605,1,10005,72849,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,163188,0,10.12,36.771,1000,1,1,,,0
GSM,605,1,10018,11296,0,10.12,36.771,1000,1,1,,,0
UMTS,605,1,10018,152612,0,10.12,36.771,1000,1,1,,,0
UMTS,605,3,2154,163183,0,10.136,36.768,1365,1,1,,,0
UMTS,605,1,10005,72852,0,10.153,36.76,3095,1,1,,,0
GSM,605,3,1154,12719,0,10.155,36.763,3231,1,1,,,0
GSM,605,1,10005,1056,0,10.146,36.765,2344,1,1,,,0
GSM,605,3,1156,10183,0,10.145,36.768,1000,1,1,,,0
UMTS,605,2,210,315123,0,10.161,36.765,7572,1,1,,,0
UMTS,605,1,10005,71486,0,10.159,36.768,1000,1,1,,,0
GSM,605,3,1154,17177,0,10.166,36.769,1000,1,1,,,0
UMTS,605,2,136,198530,0,10.162,36.771,1000,1,1,,,0
GSM,605,2,416,50985,0,10.174,36.76,1199,1,1,,,0
UMTS,605,3,2154,133248,0,10.175,36.761,1000,1,1,,,0
UMTS,605,3,2154,133243,0,10.175,36.761,1000,1,1,,,0
LTE,605,1,10018,65539,0,10.177,36.761,1000,1,1,,,0
GSM,605,3,1154,12203,0,10.174,36.763,1593,1,1,,,0
GSM,605,3,1154,12982,0,10.175,36.763,2092,1,1,,,0
LTE,605,3,4154,3865857,0,10.174,36.764,1000,1,1,,,0
UMTS,605,1,10013,133944,0,10.173,36.765,1000,1,1,,,0
GSM,605,3,1154,11158,0,10.168,36.766,1000,1,1,,,0
UMTS,605,3,2154,133249,0,10.173,36.766,1000,1,1,,,0
UMTS,605,3,2154,133244,0,10.173,36.766,1000,1,1,,,0
GSM,605,3,1119,15579,0,10.171,36.767,2140,1,1,,,0
LTE,605,3,4100,3917068,0,10.174,36.768,1664,1,1,,,0
UMTS,605,2,1020,262167,0,10.173,36.768,1000,1,1,,,0
LTE,605,1,10017,27906,0,10.173,36.768,1000,1,1,,,0
UMTS,605,2,1020,902056,0,10.172,36.768,1000,1,1,,,0
LTE,605,1,10019,198661,0,10.172,36.769,1000,1,1,,,0
UMTS,605,1,10001,20226,0,10.172,36.769,1000,1,1,,,0
GSM,605,2,401,56812,0,10.171,36.769,1000,1,1,,,0
UMTS,605,1,10001,68796,0,10.171,36.769,1000,1,1,,,0
GSM,605,1,10018,516,0,10.169,36.769,3351,1,1,,,0
LTE,605,2,1020,11617548,0,10.171,36.769,1000,1,1,,,0
UMTS,605,1,10011,7279127,0,10.17,36.77,1000,1,1,,,0
UMTS,605,2,137,262167,0,10.17,36.771,1000,1,1,,,0
UMTS,605,3,2154,133359,0,10.18,36.771,1000,1,1,,,0
GSM,605,3,1154,12068,0,10.18,36.771,1000,1,1,,,0
UMTS,605,3,2164,818693,0,10.18,36.771,1000,1,1,,,0
UMTS,605,3,2154,163244,0,10.17,36.772,1000,1,1,,,0
GSM,605,3,1154,17171,0,10.17,36.772,1000,1,1,,,0
GSM,605,1,10001,792,0,10.17,36.772,1000,1,1,,,0
UMTS,605,3,2164,818724,0,10.17,36.772,1000,1,1,,,0
UMTS,605,3,2154,133335,0,10.178,36.772,1000,1,1,,,0
UMTS,605,3,2154,133340,0,10.178,36.772,1000,1,1,,,0
LTE,605,3,4100,3884299,0,10.171,36.772,1000,1,1,,,0
GSM,605,1,10005,1062,0,10.191,36.76,1000,1,1,,,0
UMTS,605,3,2154,169585,0,10.192,36.76,1000,1,1,,,0
UMTS,605,2,137,269948,0,10.191,36.76,1234,1,1,,,0
UMTS,605,2,137,264003,0,10.186,36.761,1000,1,1,,,0
UMTS,605,1,10005,67642,0,10.185,36.761,1000,1,1,,,0
UMTS,605,3,2154,162695,0,10.186,36.761,1000,1,1,,,0
UMTS,605,1,10005,68006,0,10.186,36.761,1000,1,1,,,0
UMTS,605,2,137,262171,0,10.186,36.761,1000,1,1,,,0
GSM,605,2,401,51653,0,10.191,36.761,1000,1,1,,,0
GSM,605,1,10005,1066,0,10.187,36.761,1000,1,1,,,0
